"","COMID","acm_resp","reach_lgt","reach_slp","river_lgt","river_slp","reach_area","wshd_area","reach_resp","d50m","order","doc_annual","do_annual","nitrates","res_time","hz_exchng","aer_resp","anb_resp","p_ant","p_frt","p_shb","p_ant_t","p_frt_t","p_shb_t","hl","hrl","ht","hrt"
"12",23099434,188511.3774,0.385,0,11425.76,0.033948,0.36,15193.91,1.234720704,0.002223461,7,2.21594555,10.86298061,0.424037247,6.918383433,-4.78601765,1.222971768,0.011748935,0.3067,0,0.6933,0.2696,0.3069,0.4235,0.616434764805513,0.561103103582467,1.07978841915252,0.982865775570004
"13",23099436,188510.1427,3.238,0,11425.38,0.033949,5.78,15193.55,0.5381326,0.001456735,7,2.269851452,10.86297737,0.424036267,7.559784189,-5.145226508,0.532776785,0.005355815,0.7492,0,0.2508,0.2695,0.307,0.4235,0.563212328994445,0.512657954770603,1.07977542605579,0.982853948743686
"14",23099438,188411.5447,2.694,0,11420.3,0.033963,7.67,15178.66,0.122840298,0.000697822,7,2.277690731,10.86284343,0.422493641,8.292766468,-5.803022865,0.121613895,0.001226403,0.7812,0.0043,0.2145,0.2692,0.3072,0.4236,0.546539462843806,0.497481657979993,1.07970392769621,0.982788868132158
"15",23099440,188411.4218,0.406,0,11417.61,0.033971,0.31,15170.99,0.050606221,0.000451094,7,2.282986328,10.86763531,0.422317095,8.505000641,-6.203633845,0.050097343,0.000508877,0.8051,0.0029,0.192,0.2689,0.3074,0.4237,0.508331382654917,0.462703164617962,1.07963194119712,0.982723343196898
"16",23099442,188411.3712,0.094,0,11417.2,0.033972,0.04,15170.68,21.07262611,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.1556,0.2444,0.2689,0.3074,0.4237,0.940331135913543,0.855926285927079,1.07963194119712,0.982723343196898
"17",23099444,188390.2986,0.424,0,11417.11,0.033973,0.16,15170.64,2.845121576,0.00342135,7,2.297433264,10.86763216,0.422305311,6.671183894,-4.469768275,2.815580609,0.029540967,0.8146,0.0393,0.1461,0.2689,0.3074,0.4237,0.575254058498415,0.523618809321547,1.07963194119712,0.982723343196898
"18",23099446,188387.4535,1.149,0,11416.69,0.033974,11.93,15170.48,0.246934629,0.001013276,7,2.25221065,10.86763072,0.422304504,7.76714243,-5.490515211,0.244528766,0.002405863,0.6503,0.0061,0.3436,0.2689,0.3074,0.4237,0.678004814548832,0.617146578044201,1.07963194119712,0.982723343196898
"19",23099448,188387.2066,0.192,0,11415.54,0.033977,0.06,15158.55,0.135593687,0.000651241,7,2.803853898,10.86752325,0.422090439,8.211007107,-5.865472282,0.133114135,0.002479551,0.8714,0.1286,0,0.2686,0.3076,0.4238,0.383716672520541,0.34927396723892,1.07955946627582,0.982657373680579
"20",23099450,188387.071,1.327,0,11415.35,0.033978,1.82,15158.49,0.085978163,0.000591865,7,2.250488661,10.86752271,0.422089036,8.471674435,-5.950007143,0.085145058,0.000833104,0.6235,0.0262,0.3503,0.2686,0.3076,0.4238,0.757418314817398,0.689431861112391,1.07955946627582,0.982657373680579
"21",23099452,188386.985,0.833,0,11414.02,0.033982,1.36,15156.66,0.173470947,0.000825165,7,2.269008207,10.86750622,0.42205395,7.968119213,-5.657439157,0.171751011,0.001719936,0.7187,0.0345,0.2468,0.2685,0.3077,0.4238,0.698866039439792,0.636135283255437,1.07954587370999,0.982645001193979
"22",23099454,188386.8115,0.78,0,11413.19,0.033984,1.37,15155.31,0.129455482,0.000729012,7,2.251946235,10.86749405,0.422012597,8.177735366,-5.76728335,0.128195503,0.001259978,0.6272,0.0329,0.3399,0.2685,0.3077,0.4238,0.771699696228923,0.70243133468358,1.07954587370999,0.982645001193979
"23",23099456,188386.6821,1.946,0,11412.41,0.033987,4.25,15153.94,0.652233921,0.0015487,7,2.285532807,10.86748171,0.421986969,7.475002596,-5.096248218,0.64564732,0.006586601,0.7921,0.0278,0.1801,0.2685,0.3077,0.4238,0.592947636219737,0.539724197822865,1.07954587370999,0.982645001193979
"24",23099458,188386.0298,0.294,0,11410.46,0.033992,19.94,15149.69,0.737162519,0.001730396,7,2.281281499,10.86744339,0.421867465,7.015859752,-5.05151857,0.72972445,0.007438069,0.8041,0.0023,0.1936,0.2683,0.3078,0.4239,0.507175057184428,0.461650631815976,1.07948650264865,0.982590959325014
"25",23099460,188385.2927,4.178,0,11410.17,0.033993,35.42,15129.76,2.892220345,0.003662169,7,2.201978157,10.86726357,0.420773279,6.581271289,-4.41348921,2.865014557,0.027205787,0.1606,0.0038,0.8356,0.2676,0.3082,0.4242,0.464966071802998,0.42323035760568,1.07929306743608,0.982414887006728
"26",23099462,188382.4004,0.836,0,11405.99,0.034006,1.05,15094.33,24.4622208,0.016295242,7,2.208258641,10.86694331,0.420677752,5.166780729,-3.41738105,24.22957976,0.232641039,0.194,0.0197,0.7863,0.2679,0.3089,0.4232,0.584544425867985,0.532075266131103,1.07965275818129,0.982742291632472
"27",23099464,188357.9382,1.456,0,11405.15,0.034008,2.69,15093.28,4.422039032,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2257,0,0.7743,0.2679,0.3089,0.4232,0.534028170590625,0.486093388995355,1.07965275818129,0.982742291632472
"28",23099466,621.3992338,0.061,0.02,820.61,0.026663,0.01,871.02,3.375838041,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8571,0.1429,0,0.2669,2e-04,0.7329,0.410193100480572,0.373373850549101,0.581992389174348,0.529752302224763
"29",23099468,618.0233957,1.438,0,820.55,0.026641,2.56,871.01,0.003075181,0.000119463,4,1.048506653,10.01571861,1.067245766,8.11755582,-7.113509275,0.003060458,1.47e-05,0.0906999999999999,0.0032,0.9061,0.2669,2e-04,0.7329,0.325427223375772,0.296216624128881,0.581992389174348,0.529752302224763
"30",23099470,617.9999309,1.518,0,798.74,0.026579,11.05,856.41,0.001758954,9.54e-05,4,1.052516942,10.00368766,1.078995179,8.343506522,-7.295849483,0.0017503,8.65e-06,0.0231,0,0.9769,0.2685,2e-04,0.7313,0.10987013001877,0.100008102177675,0.583602071503238,0.531217498222928
"31",23099472,617.9972111,1.413,0,793.2,0.026715,2.15,842.45,0.002146725,9.91e-05,4,1.067152,10.02088633,1.095361111,8.311204596,-7.249491605,0.002136077,1.06e-05,0.0256,0,0.9744,0.2725,2e-04,0.7273,0.119097658390539,0.108407360466472,0.587569355221647,0.534828675486581
"32",23099474,617.9940636,1.147,0,785.42,0.026941,14.45,836.56,0.000954357,2.76e-05,4,1.072180648,10.01992794,1.107624566,8.51054501,-7.534617149,0.000949648,4.71e-06,0.0226999999999999,0,0.9773,0.2738,2e-04,0.726,0.10836874410021,0.0986414818202972,0.588841307262301,0.535986456128373
"33",23099484,507.3722115,0.922,0,605.61,0.026106,26.22,628.4,0.000655031,7.59e-06,4,1.139731268,10.11694963,1.315380794,8.51054501,-7.793174124,0.000651776,3.25e-06,0.2649,0,0.7351,0.2724,2e-04,0.7274,0.57812001843432,0.526227518477148,0.587471159953045,0.534739294301231
"34",23099486,303.0543906,2.018,0,566.89,0.024555,1.07,578.98,0.001237656,6.84e-05,4,1.202159022,10.14950917,1.352850173,8.502828904,-7.573488739,0.001231153,6.5e-06,0.7221,0,0.2779,0.2715,2e-04,0.7283,0.590958993780343,0.537914057466793,0.586585130518241,0.533932795553727
"35",23099488,200.4472343,1.848,0,168.35,0.017345,2.1,236.02,0.002342703,5.76e-05,3,1.243082129,9.998398919,1.459060005,7.950210401,-7.276544328,0.002329515,1.32e-05,0.4013,0,0.5987,0.3054,1e-04,0.6945,0.673535252083061,0.613078206961997,0.616355102091031,0.561030591454845
"36",23099492,198.9695009,3.638,0.01,138.88,0.020305,2.58,151.51,0.001962298,5.37e-05,3,1.211885217,10.37892713,1.642528816,7.799029486,-7.317854924,0.001952583,9.72e-06,0.6809,0,0.3191,0.2566,3e-04,0.7431,0.626189200811443,0.569981973868686,0.572114998434713,0.520761513716827
"37",23099494,198.9667297,1.71,0.01,130.06,0.021375,0.61,144.84,0.004930568,0.000129116,3,1.133042615,10.43110822,1.739785313,7.370066525,-6.970210529,0.004907974,2.26e-05,0.1853,0,0.8147,0.2436,3e-04,0.7561,0.479335690404426,0.436310148128366,0.557843871951038,0.507771374583234
"38",23099496,198.9603197,0.124,0.02,120.6,0.022886,0.01,138.67,0.026954973,0.000327001,3,1.060434273,10.43974446,1.746405739,6.402918778,-6.149537567,0.026837453,0.00011752,0.1667,0,0.8333,0.2268,3e-04,0.7729,0.450614852796932,0.410167315116446,0.538037035605236,0.489742415185907
"39",23099498,198.9310176,1.091,0.01,110.46,0.024624,1.25,123.63,0.007096178,0.000179861,3,0.879394518,10.42406241,1.65794139,6.974517985,-6.6712128,0.007068468,2.77e-05,0.5119,0,0.4881,0.1696,4e-04,0.83,0.692863933816029,0.630671931274331,0.458706577737169,0.417532720568124
"40",23099500,198.9232497,0.98,0.01,107.01,0.024951,0.53,121.02,0.006940132,0.000176877,3,0.836073967,10.44545234,1.682054793,6.973724088,-6.690156995,0.006913816,2.63e-05,0.3243,0,0.6757,0.1593,4e-04,0.8403,0.630068289904515,0.57351287292478,0.441967409744182,0.402296073239811
"41",23099502,198.8874795,3.831,0.02,90.68,0.027569,2.12,102.44,0.005177049,0.000172971,2,0.781818182,10.53448544,1.73896797,6.936993411,-6.706416487,0.005158363,1.87e-05,0.5475,0,0.4525,0.0834,3e-04,0.9163,0.688627868385662,0.626816098353052,0.289703157750238,0.263699178261929
"42",23099504,198.8803724,1.197,0.02,82.39,0.029372,1.31,96.01,0.012806023,0.000248009,2,0.781818182,10.50618678,1.745107621,6.583779463,-6.372224625,0.012759504,4.65e-05,0.4132,0,0.5868,0.0631,4e-04,0.9365,0.678002086801756,0.617144095141812,0.23891688747196,0.217471522880568
"43",23099506,198.8665902,1.796,0.02,78.79,0.029572,1.68,92.83,0.011480805,0.000235707,2,0.781818182,10.51130765,1.677532703,6.639016229,-6.407823243,0.01143915,4.17e-05,0.205,0,0.795,0.0528,4e-04,0.9468,0.50725625210857,0.461724538620932,0.210186401855892,0.191319907872785
"44",23099508,198.853482,0.029,0.19,74.19,0.030193,0,87.94,94.85375977,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6667,0,0.3333,0.0494,4e-04,0.9502,0.636491060888752,0.579359131018273,0.200254045506779,0.182279087510986
"45",23099510,103.9938161,1.374,0.02,67.25,0.02974,1.74,81.77,0.011726775,0.000221091,2,0.781818182,10.51342255,1.593758285,6.675478916,-6.450261269,0.011684386,4.24e-05,0.1061,0,0.8939,0.0504000000000001,4e-04,0.9492,0.338282945921208,0.307918407076368,0.203200187337111,0.18496078137216
"46",23099512,103.9780397,0.273,0.04,62.34,0.030638,0.08,76.51,0.083915973,0.000588061,2,0.781818182,10.48489661,1.507194902,5.680379397,-5.572822356,0.083612535,0.000303438,0,0,1,0.0417,4e-04,0.9579,0,0,0.176822206466053,0.160950508464111
"47",23099514,103.8931888,0.827,0.03,60.09,0.029789,0.94,74.98,0.05742835,0.000510938,2,0.781818182,10.49185916,1.486364634,5.774586461,-5.732382468,0.057220889,0.000207461,0.0767,0,0.9233,0.0416,4e-04,0.958,0.270634696984647,0.246342317281693,0.176508657020486,0.160665103459269
"48",23099516,103.832975,2.324,0.02,55.96,0.0302,5.31,70.99,0.011969576,0.000239627,2,0.781818182,10.50383334,1.417528816,6.569714072,-6.374070507,0.011926232,4.33e-05,0.2313,0,0.7687,0.0424,4e-04,0.9572,0.540842381033373,0.492295950638835,0.179010077520045,0.162941994520256
"49",23099518,103.8200119,1.074,0.02,50.94,0.031802,2.76,61.95,0.023022082,0.000310055,2,0.781818182,10.47550532,1.369961735,6.248831155,-6.160836317,0.022938576,8.35e-05,0.013,0,0.987,0.0213,5e-04,0.9782,0.0693716084142907,0.0631447591928837,0.107345812247017,0.0977103691213545
"50",23099520,103.7941277,0.147,0.04,48.05,0.030801,0.03,58.36,0.069185001,0.000529412,2,0.781818182,10.50137731,1.350749261,5.711980677,-5.656926366,0.068936255,0.000248747,0,0,1,0.0219,6e-04,0.9775,0,0,0.110381886717303,0.100473923199169
"51",23099522,103.7243003,1.216,0.03,44.98,0.03068,2.46,55.95,0.046004414,0.0004279,2,0.781818182,10.47617301,1.350550403,5.913788467,-5.849090126,0.045838032,0.000166382,0.0187,0,0.9813,0.0225,6e-04,0.9769,0.09293568864757,0.0845937093605966,0.112652664400687,0.102540874121534
"52",23099524,103.6745892,0.767,0.01,41.17,0.031091,0.74,50.72,0.004537696,0.000134978,2,0.781818182,10.46276761,1.356926334,7.045006415,-6.821598658,0.004521126,1.66e-05,0.0147,0.0061,0.9792,0.0239,7e-04,0.9754,0.113721554525815,0.103513819842379,0.118619665022925,0.107972272153202
"53",23099526,103.6694824,0.671,0.02,37.68,0.032113,0.7,47.33,0.006762104,0.000172017,2,0.781818182,10.44359654,1.367666255,6.742869134,-6.680893941,0.006737368,2.47e-05,0.0181,0,0.9819,0.025,6e-04,0.9744,0.0905495621343453,0.0824217634085652,0.121942622341123,0.110996958252632
"54",23099528,103.6493769,0.522,0.02,35.19,0.030406,0.3,44.68,0.009338759,0.000205198,2,0.781818182,10.46003065,1.377480101,6.549642679,-6.5172693,0.009304687,3.41e-05,0.1988,0,0.8012,0.0261,6e-04,0.9733,0.498734363532829,0.45396758135435,0.125947389216817,0.114642254156385
"55",23099530,103.6382483,1.62,0.02,31.53,0.031082,4.71,42.21,0.01030151,0.000211277,2,0.781818182,10.4619844,1.384336279,6.521592841,-6.454816632,0.010263907,3.76e-05,0.0220999999999999,0.001,0.9769,0.0259,7e-04,0.9734,0.113987998335287,0.103756347449452,0.125954110744891,0.1146483723549
"56",23099532,103.6207912,0.165,0.05,28.11,0.030238,0.04,36.14,0.063987539,0.000515514,2,0.781818182,10.53799528,1.40380549,5.534957189,-5.70333481,0.0637588,0.000228739,0.2,0,0.8,0.0273,7e-04,0.972,0.500402423538188,0.455485915003595,0.130993102537536,0.119235060347216
"57",23099534,103.5563215,0.613,0.03,24.64,0.030438,0.3,33.97,0.01850113,0.00029202,2,0.781818182,10.51981508,1.409425337,6.099007784,-6.198527686,0.018434643,6.65e-05,0.0979000000000001,0,0.9021,0.0281999999999999,7e-04,0.9711,0.320444147690992,0.291680833171345,0.134193233158012,0.122147944768303
"58",23099536,103.5233545,0.018,0,21.9,0.027397,0,31.94,103.1699677,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0979000000000001,0,0.9021,0.0288,8e-04,0.9704,0.320444147690992,0.291680833171345,0.137026792429504,0.124727161568188
"59",23099538,0.350040249,2.162,0.03,18.33,0.030005,5.79,27.19,0.01216116,0.000222457,2,0.781818182,10.48454415,1.426695586,6.314478703,-6.405496956,0.012117022,4.41e-05,0.0325,0,0.9675,0.0177,9e-04,0.9814,0.143327802484168,0.130462588087313,0.0961429159698617,0.0875130534780559
"60",23099540,0.33626786,0.182,0.06,13.23,0.034769,0.11,18.77,0.071881991,0.000484714,2,0.781818182,10.44787377,1.469461457,5.40451719,-5.683128433,0.071619378,0.000262613,0.0840000000000001,0,0.916,0.0148999999999999,0.0013,0.9838,0.288431677837796,0.262541827369756,0.0873823455187657,0.0795388386058404
"61",23099542,0.123130073,1.949,0.04,10.9,0.025688,6.61,16.87,0.015751683,0.000239909,2,0.781818182,10.45760085,1.460149134,6.072968129,-6.334231449,0.015694311,5.74e-05,0.0291,7e-04,0.9702,0.0161,0.0014,0.9825,0.137363801390385,0.125033920344107,0.0930216398439151,0.0846719455110854
"62",23099544,0.098498562,0.407,0.04,5.84,0.027397,0.12,8.04,0.007411468,0.00014758,2,0.781818182,10.57511594,1.491899491,6.211973728,-6.670602121,0.007385082,2.64e-05,0.2044,0,0.7956,0.00900000000000006,0.0013,0.9897,0.506441947562435,0.46098332668062,0.0612805565687553,0.055779966418406
"63",23099546,0.017616509,3.59,0.07,3.59,0.019499,4.43,4.43,0.017616509,0.000180566,1,0.781818182,10.42079847,1.501567378,5.781504769,-6.437524834,0.017551932,6.46e-05,0.00859999999999999,0.0024,0.989,0.00859999999999999,0.0024,0.989,0.0663183050895939,0.0603655227359546,0.0663183050895939,0.0603655227359546
"64",23099548,187732.1169,1.313,0,10583.09,0.034583,7.51,14219.58,0.557730673,0.00141462,7,2.285882307,10.90190373,0.419892237,7.41390489,-5.180528453,0.552170403,0.00556027,0.3804,0.0092,0.6104,0.268,0.3279,0.4041,0.712121773367654,0.648201172254306,1.0846698262113,0.987309023756038
"65",23099550,187634.1077,0.722,0,10566.48,0.034617,0.46,14205.21,0.283642096,0.00105573,7,2.270822451,10.90176561,0.419764382,7.760786503,-5.431598781,0.280859573,0.002782523,0.169,0.0059,0.8251,0.268,0.3282,0.4038,0.489367339164652,0.445441348337666,1.0847322637365,0.987365856840688
"66",23099552,187633.8241,0.419,0,10565.76,0.034619,0.79,14204.75,4.276360989,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264,0,0.736,0.2679,0.3283,0.4038,0.577199348367057,0.525389488467144,1.08471196622458,0.987347381249137
"67",23099554,187629.5477,1.495,0,10565.34,0.034621,3.15,14203.97,0.376133103,0.001176175,7,2.270204386,10.90175369,0.419763427,7.730738866,-5.338168391,0.37244421,0.003688892,0.1626,0.0026,0.8348,0.2679,0.3283,0.4038,0.461566647514874,0.420136068270681,1.08471196622458,0.987347381249137
"68",23099558,187325.5696,0.325,0,10539.27,0.034646,0.2,14186.58,0.103297757,0.000627845,7,2.278629611,10.90158635,0.419744983,8.305628318,-5.901771734,0.102276401,0.001021356,0.2627,0,0.7373,0.268,0.3287,0.4033,0.575862129600022,0.524172299490808,1.08483522164101,0.987459573164067
"69",23099560,187227.1838,0.977,0,10537.01,0.034634,1.56,14185.36,0.463531453,0.001287068,7,2.281096176,10.9015746,0.419743785,7.59222657,-5.263531785,0.458932843,0.004598609,0.2842,0.0121,0.7037,0.268,0.3287,0.4033,0.658243950956269,0.599159464850228,1.08483522164101,0.987459573164067
"70",23099562,187129.1672,0.343,0,10533.88,0.034607,0.26,14182.71,0.319335709,0.001109199,7,2.307547584,10.90154908,0.419740745,7.794490996,-5.391506058,0.31608009,0.003255619,0.5432,0.0277,0.4291,0.2681,0.3287,0.4032,0.79389060615456,0.722630371372437,1.08487605996001,0.987496745803968
"71",23099564,187030.7045,2.523,0,10526.98,0.034575,13.28,14178.78,0.609460783,0.001546706,7,2.296379653,10.90151122,0.419734433,7.465372982,-5.100403813,0.603316657,0.006144126,0.4637,0.0063,0.53,0.268,0.3288,0.4032,0.724770438951283,0.659714483833009,1.08485564755449,0.987478165631757
"72",23099566,186932.9705,1.58,0,10522.27,0.034588,2.08,14164.25,0.581540061,0.001449295,7,2.31513286,10.90137116,0.419601317,7.54301541,-5.153724758,0.575561796,0.005978265,0.6059,0.0182,0.3759,0.2679,0.3291,0.403,0.744288241859842,0.677480353657951,1.08487579280682,0.987496502630652
"73",23099568,186932.3889,0.788,0,10520.69,0.034593,8.49,14162.17,0.80044629,0.001751687,7,2.325138459,10.9013511,0.419585129,7.182932255,-4.997069734,0.792101241,0.008345049,0.6815,0.0074,0.3111,0.2678,0.3292,0.403,0.660886840776591,0.601565126836338,1.08485518416146,0.987477743833243
"74",23099570,186931.5885,1.829,0,10519.9,0.034595,7.1,14153.68,3.185893951,0.003705427,7,2.294697991,10.90126919,0.419359265,6.58327026,-4.392041273,3.153322687,0.032571264,0.4456,0.0056,0.5488,0.2675,0.3294,0.4031,0.718521020454074,0.654026017973242,1.08477278829589,0.987402743884288
"75",23099572,186928.4026,0.25,0,10518.07,0.034601,1.85,14146.58,13.74812889,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9348,0.0049,0.0603,0.2675,0.3295,0.403,0.258435383650993,0.23523802374749,1.08479295189865,0.987421097586474
"76",23099576,186806.2925,0.438,0,10493.07,0.034661,1.04,14053.48,9.666285515,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7349,0,0.2651,0.2651,0.3317,0.4032,0.578324046573095,0.526413232892397,1.08423420707854,0.986912506133532
"77",23099578,186796.6262,1.599,0,10492.64,0.034662,4.63,14052.44,23.22213258,0.012354117,7,2.306543564,10.90028859,0.445705222,5.490925007,-3.456210117,22.97960923,0.24252335,0.5902,0,0.4098,0.2651,0.3317,0.4032,0.676785670976613,0.616036865741878,1.08423420707854,0.986912506133532
"78",23099580,186675.3532,0.804,0,10488.12,0.034653,2.24,14045.42,8.859538078,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9254,0,0.0746,0.2649,0.332,0.4031,0.265378385976271,0.24155781681452,1.08420867900118,0.986889269476143
"79",23099582,186568.3912,0.088,0,10485.91,0.034656,0.01,14041.46,56.88545227,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,0.2,0.2647,0.3321,0.4032,0.500402423538188,0.455485915003595,1.08414401453577,0.98683040934315
"80",23099584,186511.5058,0.362,0,10485.82,0.034656,0.34,14041.45,8.076207161,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5362,0.0188,0.445,0.2647,0.3321,0.4032,0.769202939790288,0.700158689033802,1.08414401453577,0.98683040934315
"81",23099586,186503.4296,0.546,0,10485.46,0.034658,0.53,14041.12,6.604075432,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4907,0.0338,0.4755,0.2647,0.3321,0.4032,0.817312026296793,0.743949466729206,1.08414401453577,0.98683040934315
"82",23099588,186496.8255,0.29,0,10484.91,0.034659,0.13,14040.58,14.17001057,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5492,0.0423,0.4085,0.2647,0.3321,0.4032,0.82864013774807,0.754260758135759,1.08414401453577,0.98683040934315
"83",23099590,186482.6555,0.174,0,10484.62,0.03466,0.58,14040.46,5.215393066,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469,0.0527,0.4783,0.2647,0.3321,0.4032,0.862962438600255,0.785502262719505,1.08414401453577,0.98683040934315
"84",23099594,186055.3822,0.879,0,10296.79,0.034536,1.1,13924.6,2.505750328,0.003061366,7,2.287299957,10.89904021,0.443595054,6.780725567,-4.498045672,2.480206319,0.025544009,0.4288,0.0057,0.5655,0.2623,0.3348,0.4029,0.714906676184902,0.650736100040908,1.08363582897069,0.986367838907415
"85",23099596,186052.8764,0.225,0,10295.91,0.034539,1.47,13923.5,7.289766788,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1468,0,0.8532,0.2623,0.3348,0.4029,0.417117969762125,0.379677138208433,1.08363582897069,0.986367838907415
"86",23099598,185948.0814,1.349,0,10293.11,0.034539,3.49,13920.63,3.591080512,0.003939707,7,2.263290218,10.89900126,0.443580497,6.499219515,-4.334907983,3.55534273,0.035737782,0.1018,0.0028,0.8954,0.2623,0.3349,0.4028,0.347973869299511,0.316739465677535,1.08365431713219,0.986384667557242
"87",23099600,185944.4903,0.748,0,10291.76,0.034543,2.86,13917.13,3.285251162,0.003796768,7,2.280107725,10.89896691,0.443570682,6.357151235,-4.370720913,3.251995727,0.033255435,0.3387,0.0062,0.6551,0.2623,0.335,0.4027,0.675292153721272,0.614677407750422,1.08367275060782,0.986401446429838
"88",23099602,185844.0845,3.337,0,10289.19,0.034537,12.61,13912.94,7.871586861,0.00573932,7,2.297012356,10.89892578,0.589325091,6.083305321,-3.993119971,7.788816016,0.082770845,0.5072,0.0143,0.4785,0.2623,0.3351,0.4026,0.757753750222937,0.689737187576512,1.08369112940032,0.986418175527707
"89",23099606,185424.7049,0.212,0,10271.95,0.034468,0.23,13886.27,10.37834358,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664,0.04,0.296,0.2615,0.3357,0.4028,0.760994355085306,0.692686913240237,1.08345666668936,0.986204758371015
"90",23099608,185414.3265,4.265,0,10271.73,0.034468,19.4,13886.04,7.043301261,0.005374014,7,2.284117755,10.89866141,0.587716685,6.173035044,-4.044205974,6.970279654,0.073021607,0.3966,0.0133,0.5901,0.2615,0.3357,0.4028,0.735498369315373,0.669479466870925,1.08345666668936,0.986204758371015
"91",23099610,5.898475227,0.669,0.02,105.48,0.018771,0.26,114.31,0.122952661,0.000371188,4,2.66790943,9.771714514,2.21308732,6.269709204,-6.012512494,0.119559582,0.003393079,0.9795,0.0068,0.0137,0.5831,0.0013,0.4156,0.113004010791261,0.102860683388368,0.688071261967578,0.62630945335752
